Regional;Distrito;Centros;Sector;Nivel;Coordenadas Latitud;Coordenadas Longitud;Matricula;Planta Fisica;Provincia;Municipio;Año
10 - SANTO DOMINGO;1005 - BOCA CHICA;14169 - POLITECNICO ITLA;PÚBLICO;SECUNDARIO;18.451115,;-69.661851;625;32049002 - POLITÉCNICO  ITLA;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;14184 - AURA ALTAGRACIA BENZANT;PÚBLICO;INICIAL - PRIMARIO;18.464138,;-69.648946;411;32043735 - AURA ALTAGRACIA BENZANT;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;14253 - PROF. PEDRO ANTONIO BATISTA;PÚBLICO;INICIAL - PRIMARIO;18.444046,;-69.644932;819;32015045 - PROF. PEDRO ANTONIO BATISTA;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;14325 - CENTRO EDUCATIVO VID FECUNDA;PRIVADO;INICIAL - PRIMARIO;18.472074,;-69.735617;185;32016534 - CENTRO EDUCATIVO VID FECUNDA;SANTO DOMINGO;SANTO DOMINGO ESTE;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;14336 - MARIA TRINIDAD SANCHEZ;PÚBLICO;INICIAL - PRIMARIO;18.458046,;-69.644227;836;32033257 - MARIA TRINIDAD SANCHEZ;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;14337 - JUAN PABLO DUARTE;PÚBLICO;SECUNDARIO;18.459534,;-69.609402;683;32045537 - JUAN PABLO DUARTE;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;14440 - MARIA CONCEPCION BONA;PÚBLICO;INICIAL - PRIMARIO - SECUNDARIO;18.459853,;-69.686938;345;32041106 - MARIA CONCEPCION BONA;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;14526 - PEDRO HENRIQUEZ UREÑA;PÚBLICO;ADULTOS;18.446145,;-69.645923;334;32010604 - CAMILA HENRIQUEZ UREÑA;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;14558 - DOMINGO MORENO JIMENES;PÚBLICO;ADULTOS;18.462795,;-69.734191;391;01180214 - LA UREÑA;SANTO DOMINGO;SANTO DOMINGO ESTE;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;14559 - CENTRO EN ARTES PROF. ELADIO ANTONIO AQUINO ROJAS;PÚBLICO;SECUNDARIO;18.451706,;-69.675026;823;32049083 - PROF. ELADIO ANTONIO AQUINO ROJAS;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;14895 - JUANA FALCONERIS MORA BAEZ;PÚBLICO;INICIAL;18.453002,;-69.637169;47;32031504 - JUANA FALCONERIS MORA BAEZ;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;14897 - EMILIO PRUD´HOMME;PÚBLICO;INICIAL - PRIMARIO;18.462006,;-69.607762;802;32049497 - EMILIO PRUD' HOMME;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;14927 - MADRE TERESA DE CALCUTA;PÚBLICO;INICIAL - PRIMARIO - SECUNDARIO;18.481439,;-69.73634;1032;32019910 - MADRE TERESA DE CALCUTA;SANTO DOMINGO;SANTO DOMINGO ESTE;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;14983 - CAIPI- BRISAS DEL NORTE;PÚBLICO;INICIAL;18.458483,;-69.644303;122;32040558 - CAIPI - BRISAS DEL NORTE;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;14985 - CAIPI - BRISAS DEL NORTE BOCA CHICA;PÚBLICO;INICIAL;18.458483,;-69.644303;258;32040558 - CAIPI - BRISAS DEL NORTE;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;14986 - CAIPI - EL CALICHE;PÚBLICO;INICIAL;18.451374,;-69.674976;281;32049913 - CAIPI - EL CALICHE;SANTO DOMINGO;BOCA CHICA;20232024
